84,"CH 2","CH 3","CH 4","CH 5","CH 6","CH 7","CH 8","CH 9","CH 10",IGCH,Name,Date,"Burial Date c.",Contents,Mints,Disposition,Bibliography,"Sort date",Location,Notes,
,2.007,,,,,,,,,689,"Sveti-Blas, Burgas, Bulgaria",1948,550-500,"3+ EL","Lydia trite (lion head)
Cyzicus hemihecte and hecte.",,"M. Laloux, RBN 1971, 38
L. Breglia, AIIN, 1971/2, 19",,,,
,,,,,,,,9.102,,47,Piraeus,1882,"322-300 BC","c. 80 EL and AU, pot hoard","Alexander III:
Lampsacus: 1 AU
Ake: 1 AU
Cyzicus: EL (to von Fritze gr. III)","Athens 6","For discovery, contents and burial see I. Touratsoglou, ‘Statères d’Alexandre et statères de Cyzique: le trésor du Pirée, 1882 (IGCH 47)’ in Travaux Le Rider, pp. 352–7, pl. 34.",322,C,,
,,,,,,,,,10.068,444,"Thessaloniki, Greece","before 1897",280,"157 AR",,,"5 coins probably from the hoard are published in SNG Greece. 4, Numismatic Museum, Athens, the Petros Z. Saroglos Collection. Volume I, Macedonia, nos. 307, 323, 333, 420, 529.",280,C,,
,,,,,,,,9.022,,43,Elis,1918,"400-370 BC","11 AU 1 EL","Persia: 11 darics 
Cyzicus: 1 EL",,"The lot from this hoard in Athens is published by H.Nicolet-Pierre, ‚ÄòOr Perse en Gr√®ce: Deux tr√©sors de dariques conserv√©s √† Ath√®nes‚Äô, Xarakthr, pp. 200-8.",400,C,,
,,,,,,,8.191,,,409,"Codlea, dep. of Brahov, SE Transilvania",1899,"322 B.C. after","6 AV","Macedonia, Alexander III staters",,"B. Mitrea, 'Le trésor de statères d'or de Codlea', in: S. Schers (ed.), Studia Paulo Naster oblata, I, pp. 65-74.",,,,
,,,,,,,,9.094,,409,"Codlea (Feketehalom), Romania",1899,"Late 4th cent. BC",6AV,"Alexander III sts.",,"Torb√°gyi, M.: Griechischer M√ºnzumlauf im Karpatenbecken. Acta Archaeologica Academiae Scientarium Hungaricae 43, 1991, Akad√©miai Kiad√≥, Budapest.
Roska, M.: Erd√©ly r√©g√©szeti repertoriuma. I. √ñskor. [Arch√§ologisches Fundrepertorium Siebenb√ºrgens. I. Urzeit.] Kolozsv√°r, 1941.
Winkler, J.: Contributii Numismatice la istoria Daciei. (Contributions numismatiques √† l‚Äôhistoire de la Dacie) SCS Ser. III. 1-2 (1955) pp. 13-180.",325,C,,
,,,,,,,,9.088,,408,Krivodol,1967,323-317,"6 AU, pot hoard","Philip II: 1
Alexander III: 
  Macedonia: 1
  Sardes: 1
  Miletus: 2
  Babylon: 2",Sofia,"B. Ruseva, ‚ÄòThe gold staters from Krivodol, Vraca district‚Äô, MNJ 2 (1996), pp. 33-40 publishes a listing and photographs.",,,,
,,,,,,,8.197,,,397,"Gostilica, Bulgaria",1958,320,"22 AR, 1 AE","Macedonia, Philip II: 1 AE
Alexander III: 22 tetradrachms.","Veliko Tarnovo","K. Dimitrov, 'Trésors monétaires en argent du iv e s.vav. J.C. conservés au Musée de Véliko Tàrnovo', Vekové 6 (1986), pp. 52-56. 
B. Rousséva, ‘La Circulation Monétaire en Thrace Pendant la Haute Époque Hellénistique d’Après un certain nombre de trésors trouvés en Bulgarie’, RN 1990, p. 21.",,,,
,,,,,,,,9.020,,32,Athens,1929,"400-370 BC","8+ AU","Persia: 8 darics","Athens, Numismatic Museum","The lot from this hoard in Athens is published by H. Nicolet-Pierre, ‚ÄòOr Perse en Gr√®ce: Deux tr√©sors de dariques conserv√©s √† Ath√®nes‚Äô, Xarakthr, pp. 200-8.",400,C,,
,,,,,,,8.318,,,245,"Zakynthus, Greece",1904,"225 B.C.","171 AR","Lucania, Heracleia
Larissa
Locris Opuntii
Chalcis
Achaean League
Aegae
Arcadian League
Elis
Tegea
Rhodes (imitation from Crete)
Selge
With later additions down to the mid 2nd century",,"H. Nicolet, M. Oeconomides, 'La circulation monétaire dans le Péloponnèse dt le trésor de Zakynthos (Zante) de 1904 (IGCH 245)',QT 20 (1991) pp 161-185",,,,
,,,,,,,8.085,9.247,,237,"Larissa (Sitochoro)",1968,"165 BC","894+ AR","CH 9: Philip II: 1 (posthum.)
Alexander III
	Amphipolis: 4
	Macedonia: 1
	Mytilene: 1
	Smyrna: 2
	Sardes: 1
	Uncert. Asia Minor: 1
Lysimachus
	Calchedon?: 1
	Byzantium: 2
Antigonus Gonatas: 4 (Pan)
Antigonus Doson: 6 (Poseidon)
Philip V: 9 tetradrs., 6 didrs.
Perseus: 171
Macedonia, first region: 6
Aetolian League: 2
Athens: 19
Pharnaces I: 1
Pergamum: 2
Eumenes II
	Apameia: 1 cistophorus
Rhodes: 2 tetradrs., 1 dr.
Rhodes imit.: 832 drs.
Aradus: 1 (Ptol. types, yr. 75)
Antiochus II
	Antioch: 1
Seleucus II
	Antioch: 1
	Apameia: 1
Antiochus Hierax
	Alexandria Troas: 1
Antiochus III
	Antioch: 1
	Seleuceia ad Tigrim: 1
	Nisibis: 1
	Uncert.: 1
Seleucus IV
	Tarsus: 1
Ptolemy II
	Citium?: 1
	Tyre: 5
","Thessalonike 103, Athens (formerly Volos) 600, remainder dispersed.","Now published by M.J. Price, ‚ÄòThe Larissa, 1968 Hoard (IGCH 237)‚Äô, in KME, , pp. 234-43, pls. 54-5.",165,C,"List of mints and refeence to Price in CH 9.",
,,,,,,,,9.243,,233,Thebes,1965,"168 BC","16 AR 42 AE",,Thebes,"I. Touratsoglou and H. Tsourti, 'Contribution to the Circulation of the Achaean League Triobols in Mainland Greece and the Peloponnese: The evidence of the hoards', Achaia und Elis in der Antike, Meletemata 13 (Athens, 1991), pp. 171-188.  R.H.J. Ashton, ‚ÄòPseudo-Rhodian Drachms from Central Greece‚Äô, NC (1995), pp. 16-17.",168,C,,
,,,,,,,,9.235,,232,Oreus,1902,"171-169 BC","c. 1300 AR, pot hoard",,Athens.,"I. Touratsoglou and H. Tsourti, 'Contribution to the Circulation of the Achaean League Triobols in Mainland Greece and the Peloponnese: The evidence of the hoards',in: Arcaiva Acai>a kai; Hleiva, Meletemata 13 (Athens, 1991), pp. 171-188.  R.H.J. Ashton, ‚ÄòMore Pseudo-Rhodian Drachms from Mainland Greece‚Äô, NC (1997), pp. 189-190, n.2.",171,C,,
,,,,,,,,9.670,,2232,Enna,1966,"211 BC","177 AR","Acragas: 14
Syracuse:
  Agathocles: 1
  Philistis: 43
  Hieronymus: 12
  Democracy: 38
Siceliotai: 5
Carthage: 18
Siculo-Punic: 21
Antigonus Gonatas: 1
Pyrrhus: 1
Lysimachus:  
  Cyzicus: 1
Aetolian League: 1
Attalus I: 1
Ptolemy II: 1
Roman Republic:
  Quadrigati: 19",Dipsersed,"For full publication see A. Burnett, ‚ÄòThe Enna Hoard and Silver Coinage of the Syracusan Democracy‚Äô SNR 62 (1983) pp. 5-26, pls. 1-10.",211,W,,
,,,,,,7.010,,9.596,,1874,Taranto,1911,"500 BC","c. 600 AR","CH 7: Additional to the original record:
Orescii stater (Num. Circ. 1913 no. 11061). Neapolis stater (ibid. no. 11062).
Lete (ibid. no. 11076).",,"CH 7: AIIN 1976-7, 320-1.

CH 9: For further attriubutions of individual coins to this hoard, see Fischer-Bossert, pp. 77-8.",500,W,,
,,,,,,,,,10.205,1789,"Persepolis, Apadana foundation, Iran",1934,"500 BC","5 AR, 8 AU",,"Tehran (Iran Bastan Museum 10; Marble Palace Museum 3)","A. Meadows, NC 163 (2003), pp. 342-4, publishes details of the coins and their current disposition. Further discussion of the significance of the find by A. Zournatzi, ‘The Apadana Coin Hoards, Darius I, and the West’, AJN 15 (2003), pp. 1-28.",500,E,,
,,,,,,,,9.343,,1789,Persepolis,1933,"511-500 BC","8 AU, 5 AR","A.
Aegina: 1 st.
Lydia: 4 light Croesid AU
Abdera: 1 tetradr.

B.
Lydia: 4 light Croesid AU
Uncert.: 1 (lion forepart r./incuse with Cypriot letters)
Paphos?: 1 dbl. siglos (bull l./eagle head l.)
Lapethus?: 1 dbl. siglos (kneeling giant/Heracles)",Teheran,"For the corrected listing of these groups, see J.H. Kagan, ‚ÄòAn Archaic Greek Coin Hoard from the Eastern Mediterranean and Early Cypriot Coinage‚Äô, NC 154 (1994), pp. 36-43, pls. 6-7. For discussion of their sginificance and content, cf. M. Cool Root, ‚ÄòEvidence from Persepolis for the dating of Persian and Archaic Greek coinage‚Äô, NC 148 (1988), pp. 8-12  and eand., ‚Äò‚ÄôThe Persian archer at persepolis: Aspects of chronology, style and symbolism‚Äô, REA 91 (1989), pp. 33-50. P. Calmeyer, ‚ÄòDas dataum der Gr√ºndungsinschrift vom Apadana und die Krone der √§ltesten ‚ÄúBogensch√ºtzen‚Äù‚Äô, ibid., pp. 51-9 suggests down-dating the deposit to c. 499-5 BC.",511,E,,
,,,,,,,,,10.323,1786,"Basra environs, Characene, Iraq",1955,"c. 120 BC","537+ AR","Lot A
Alexander III: 159 tetradrs.
Athens: 1 tetradr.
Attalid: 1 tetradr.
Babylonian lion sts.: 11 sts.
Seleucus I
Susa: 1 elephant chariot tetradr. Antiochus I
Seleuceia on the Tigris: 4 tetradrs. Antiochus II
Seleuceia on the Tigris: 28 tetradrs. Seleucus II
Susa: 1 tetradr. Seleucus III
Seleuceia on the Tigris: 1 tetradr. Antiochus III
Antioch on the Orontes: 1 tetradr. Seleuceia on the Tigris: 11 tetradrs. Susa: 3 tetradrs.",,"See A. Houghton, C. Lorber and O. Hoover, Seleucid Coins: a Comprehensive Catalogue, II. 2 (Lancaster, 2008), p. 127 for the division of this IGCH entry into two hoards.",120,E,,
1.075,,,,,,,,,,1773,"Tell Kotchek",1952,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13
R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 55
H.B. Mattingly, ‘The Beginning of Athenian New Style Silver Coinage’, NC 1990, p. 70
W.E. Metcalf, ‘A late second-century hoard of posthumous Alexanders’, SNR 1994, pp. 19, 41, 48-49, 52",,,,
,,,,,,,8.587,9.450,,1762,"Tigris River","Between 1810 and 1816","330 BC",,,,"For discussion of the dates of discovery and burial see TMPCM, pp. 270-3, no. 64  (nb. for ‚ÄòChios‚Äô, read ‚ÄòCius‚Äô throughout).",330,E,,
,,,,,,,,9.195,,176,"Olympia, Elis",1922,"245 BC",,,,"For revision of the burial date on the basis of the Alexander content, see H.A. Troxell, ‚ÄòThe Peloponnesian Alexanders‚Äô ANSMN 17 (1971), pp. 41-94. Cf. H. Nicolet-Pierre and J.A. Kroll, ‚ÄòAthenian Tetradrachm Coinage of the Third Century BC‚Äô, AJN 1990, p. 28, no. 15.",245,C,,
,,,,,,,,9.194,,175,Eretria,1937,"245 BC","572+ AR",,,"For publication of the portion preserved in Athens and revision of burial date, see O. Picard, Chalcis et la conf√©d√©ration eub√©enne (Paris, 1979), pp. 153-63, pls. 27-9.",245,C,,
,,,,,,,8.009|8.587,9.364,,1747,Babylon,1882,"420-400 BC","23 AR + ingots and jewelry.",,,"For the revised burial date of this hoard on the basis ofthe Phoenician content, see TMPCM, pp. 268-70, no. 61.",420,E,,
,,,,,,,8.090,,,1747,"Babylon, Iraq",,"385 BC","23 AR + other objects",,"British Museum","J. Reade, p. 88
J. & A. Elayi, ‘Trésor d’Époque Perse de la région d’Arward’, RN 1990, p. 14, n. 24.",,,,
1.105,,,,,,,,,,1746,Sarnakounk,1945,31,AR,"Rome 210 den. and 15 cistoph. (Pergamum 6; Ephesus 2; Antony 7) Seleucid 58 (to Philip)
Antony/Cleopatra (Antioch) 8 Tyre 37 (to 38/7 B.C.)
Sidon 1
Aradus 1 (44/3 B.C.)
Parthian 22 (to Orodes II)
Armenian 10 (Tigranes I 8; Artavasdes II 2)
Cappadocia 8 (to Ariobarzanes I) Alexander III 1 tetr. 1 dr.
Mithradates VI, Pontus 1",,"X.A. Mushegyan, ‘Monetnye Kladi Armenii I, 1973",,,,
1.075,,,,,,,,,,1744,Diyarbakir,1955,,,"a further 88 tetr of Ptolemy I",,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,,,1735,Diyarbakir,1955,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13
R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 54",,,,
,2.055,,,,,7.053,,,,1670,"Kuft, Egypt",1874/5,305,"438+ AR (+ 32)","CH 2: Extended list of the tetr. of Alexander III and Philip III. Amphipolis 71, PeUa 18, Sicyon 1, Lampsacus 4, Abydus 1, Miletus 11, Sardes 32, Tarsus 34, Amathus 2, Citium 6, Paphos 2, Salamis 7, Pamphylia 1, Damascus 7, Myriandrus 8, Ake 18 (to 311/0 B.C.), Aradus 17, Byblos 5, Berytus 1, Marathus 3, Sidon 14 (to 312/1 B.C.) Tyre 1; Babylon 79; Seleucia 2, Susa 3, Alexandria 29, Uncertain 5. Alexandria elephant head-dress/seated Zeus 4
/Athena Alkidemos 8
” reduced weight 45

CH 7: 32 additional coins.","Ashmolean and BM","D. Nash, NC 1974, 14-30
O. Zervos, MN 25, 1980, 17-29",,,"Reference to Nash in CH 2. 
Reference to Zervos in CH 7.",
,,,,,,7.049,,,,1664,"Demanhur, Egypt",1905,318,,"Alexander III (70 more)","Toronto, Royal Ontario Museum",,,,,
,,,,,,,8.168,,,1654,"Demanhur, Egypt",1896,"330 B.C. c.","11+ AV",,"1 in Hermitage, St. Petersburg","A.O. Bolshakov, 'The earliest known gold Pharaonic coin', Revue d' égyptologie 43 (1992), pp. 3 - 9.
H. Nicolet-Pierre, ‘Xerxes et la Trésor de l’Athos (IGCH) 362’, RN 1992, p. 19",,,,
,,,,,,,,,10.436,1645,"Zagazig, Egypt",1901,"c. 470 BC","84 AR with 18 dumps & bars",,,"For images for a number of coins from Zagazig Hoard see B. Weisser, ‘Münzfunde als Zeugnisse des Handels’, M. Maischberger and W.-D. Heilmeyer (eds), Die Griechische Klassik: Idee oder Wirklichkeit (Mainz am Rhein, 2002), p. 118.",470,A,,
,2.017,,4.011,,,,8.044,9.680,10.435,1644,"Asyut, Egypt","1968 or 1969","475-470 BC","900 AR","Recorded at BM and ANS in CH 2.017:
Metapontum st. 2
Cauloniast. 1 Croton St. 1 Rhegium dr. 1 Himera dr. 4 Zankle dr. 2
Samian tetr. 14  
Derrones 15 
Ichnae 5 Thraco-Macedonian 17 Orescii 37
Laiai 1
Thasos 30 Abdera 15 Dicaea 4 Aegae 4
Alexander I 1 Acanthus 38
Scione 2 Stageira 1 Aeneia 1 Mendjs 17 Olynthus 1 Potidaea 6
Sermylia 2 Terone 11 Peparethos 1 Skyros 1 Corcyra 4 Leucas 1 Delphi 7 Boeotia 2 Tanagra 2 Carystus 3 Chalcis 1
Eretria 5
Athens 2 Wappenmiinzen
164 unwreathed owls 
1 imitation Corinth 6 incuse reverse
33 Athena head 
Aegina 126 turtles (incl. 10 small skew)
5 tortoise
1 imitation
Melos 3
Naxos 3
Paros 6
Tenos 1
Sinope 1 Cyzicus 1 plated Lampsacus 1 Parium 1 Abydus1 Lesbos 1 Qazomenae 1 Miletus 5
Teos 6
Chios 18 Samos 19 Cos 1 Cnidus 3 Caria 24 Carpathos 4 Camirus 10 lalysos 4 Lindos 5 Persia 18 Lycia 32 Hiaselis 11
Side 1
Cyprus 44 (incl. Idalium 1; Lapethus 5; Salamis 22) Cyrenaica 42 (incl. Cyrene 18, Barce 20) Uncertain 19
Ingots 8","Dispersed. British Museum, ANS.","M.J. Price and N.M. Waggoner, Archaic Greek Coinage, The Asyut Hoard (1975).

Critical review with suggested lower dating of the coins of Ale.xander 1 of Macedonia, and of Persia, with consequent lowering of the date of final burial of the hoard. C.M. Kraay, NC (1977), pp. 189-198. H. Cahn, SNR (1977), pp. 279-287.
C.M. Kraay, Q. Tic. Num. Ant. Clas 6 (1977), pp. 35-52 on Ambracia.

J.H. Kagan, ‘An Archaic Greek Coin Hoard from the Eastern Mediterranean and Early Cypriot Coinage’, NC (1994), p. 19 ff.
J.H. Kagan and B. Kritt, ‘The Coinage of Kindya’, NC 1995, p. 262

Study of cut fragments including three of Neapolis staters additional to the published record. P. Rynearson, SAN XII.4 (1981-1982), pp. 71-73.

H.B. Mattingly, ‘A new light on the early silver coinage of Teos’, SNR 1994, pp. 5-9.
O. Masson, ‘Quelques légendes monétaires Grecques’, SNR 1995, pp. 5-7

A parcel of 82 coins from this hoard, including some unpublished specimens, was acquired by the ANS in 2008 (2008.39.1-82). One coin of Carystus (no. 252) from the hoard was acquired by Athens in 1998 (BE 732/1998). For the last see Ιλίου Μέλαθρον 2000. Το Νομισματικό Μουσείο στο κατώφλι του 21ου αιώνα (Athens, 2001), p. 41. See Peter van Alfen, SNR 2009 (forthcoming) on some of the new coins.",475,A,"List of Mints in BM and ANS and reference to Price and Waggoner in CH 2.017.

References to Kraay x 2 and Cahn in CH 4.011.

Reference to Rynearson in CH 8.044.

Note on coins acquired by the ANS in 2008 in CH 10.435.



",
,,3.002,,,,,,,,1636,"Mit Rahineh",1860,500,,"Casts in BM:
Dicaea-by-Abdera
'Lete'
Aegina
Corinth
Naxos
Paros
Chios
Caria
Salamis, Cyprus
Cyrene
Uncertain Thraco-Macedonian
Uncertain Aegean island
Uncertain Cos
Uncertain Lycia
Uncertain Ephesus
Uncertain","Casts in BM of coins believed to be in Alexandria Museum.","fig. 1
M.J. Price, ‘Mit Rahineh (1860), IGCH 1636’, in CH III, 1, p. 6-8
J.H. Kagan, ‘An Archaic Greek Coin Hoard from the Eastern Mediterranean and Early Cypriot Coinage’, NC 1994, p. 19 ff.
J.H. Kagan and B. Kritt, ‘The Coinage of Kindya’, NC 1995, p. 262",,,,
,,,,,,,,9.180,,162,Karditsa,1929,"250 BC",,"The listing for the coins in the name of Antigonus should read:
Antigonus: 5 tetradr. (4 Pan head; 1 Poseidon head)",Athens,"H. Nicolet-Pierre and J.A. Kroll, ‚ÄòAthenian Tetradrachm Coinage of the Third Century BC‚Äô, AJN 1990, p. 27, no. 14.",250,C,,
1.075,,,,,,,,,,1593,Ras-Baalbeck,1957,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
,,,,5.034,,,,,,157,"Athens, Greece",1940,250,"103 AE","Athens 45.
Eleusis 21.
Macedonia Demetrius Poliorcetes 2.
Thrace Lysimachus 1.
Larissa, Thessaly 1. Locris 2.
Phocis 4.
Chalcis, Euboea 1. Megara 16.
Aegina 1. Uncertain 9.","Athens, Agora Museum","J.H. Kroll, Essays in honour of M. Thompson, 139-54.
Agora Deposit A 18:8",,,,
1.075,,,,,,,,,,1568,Kessab,1952,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,,,1567,Baarin,1955,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,,,1562,Alep,1930,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,,,1561,Latakia,1950,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,,,1560,Ghonsle,1955,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,,,1559,Akkar,1956,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,,,1557,Teffaha,1954,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,,,1556,"North Syria (Haifa)",1905,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,9.513,,1552,"Arab el Mulk",1940,"150 BC",,,,"For further discussion on the issues of Aradus and Ephesus see G. Le Rider, ‚ÄòEph√®se et Arados au IIe si√®cle avant notre √®re‚Äô, QT 20 (1991), 193-212 at 196 and P. Kinns, ‚ÄòThe Attic weight drachms of Ephesus: a preliminary study in the light of recent hoards‚Äô, NC 159 (1999), pp. 47-97",150,E,,
1.075,,,,,,,,,,1552,"Arab el-Mulk",1940,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,,,1550,El-Alweiniye,1941,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13",,,,
1.075,,,,,,,,,,1547,"Khan Cheikhoun",1940,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13
R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 55",,,,
1.075,,,,,,,,,,1546,Alep,1931,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13
R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 55
W.E. Metcalf, ‘A late second-century hoard of posthumous Alexanders’, SNR 1994, pp. 19, 48-49, 53 note 42",,,,
1.075,,,,,,,,,,1544,Latakia,1759,,,,,"H. Seyrig, Tresors du Levant (Paris, 1974)
SNR 53, 1974, 7-13
R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 53, note 34 and p. 55
H.B. Mattingly, ‘The Beginning of Athenian New Style Silver Coinage’, NC 1990, p. 68
W.E. Metcalf, ‘A late second-century hoard of posthumous Alexanders’, SNR 1994, pp. 19, 48-49, 53 note 42",,,,
,,,,,,,,9.528,,1542,"Ain Tab",1920/01/01,"140-120 BC","c. 200 AR","Alexander III tetradrs:
Temnos: 1
Mytilene: 1
Miletus: 1
Colophon: 1
Chios: 1
Alabanda: 5
Phaselis: 18 (to yr. 26)
Aspendos: 48 (to yr. 28)
Perge: 33 (to yr. 33)
Aradus: 1 (yr. 62 = 198/7 BC)
Uncert.: 1","ANS, dispersed","For a revised list and date, see W.E. Metcalf, ‚ÄòThe Ain Tab Hoard (IGCH 1542)‚Äô, in Hersh Essays, pp. 59-66. For the chronology, id.  ‚ÄòA Late Second Century Hoard of Posthumous Alexanders‚Äô, SNR  73 (1994), pp.  19-53.",140,E,,
