"CH 1","CH 2","CH 3","CH 4","CH 5","CH 6","CH 7","CH 8","CH 9","CH 10",IGCH,value,type,source
1.075,,,,,,,,,,1542,"W.E. Metcalf, ‘A late second-century hoard of posthumous Alexanders’, SNR 1994, pp. 19, 48-53 note 42",Reference,
1.075,,,,,,,,,,1544,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1544,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1544,"R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 53, note 34 and p. 55",Reference,
1.075,,,,,,,,,,1544,"H.B. Mattingly, ‘The Beginning of Athenian New Style Silver Coinage’, NC 1990, p. 68",Reference,
1.075,,,,,,,,,,1544,"W.E. Metcalf, ‘A late second-century hoard of posthumous Alexanders’, SNR 1994, pp. 19, 48-49, 53 note 42",Reference,
1.075,,,,,,,,,,1546,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1546,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1546,"R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 55",Reference,
1.075,,,,,,,,,,1546,"W.E. Metcalf, ‘A late second-century hoard of posthumous Alexanders’, SNR 1994, pp. 19, 48-49, 53 note 42",Reference,
1.075,,,,,,,,,,1547,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1547,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1547,"R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 55",Reference,
1.075,,,,,,,,,,1550,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1550,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1552,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1552,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1556,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1556,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1557,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1557,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1559,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1559,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1560,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1560,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1561,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1561,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1562,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1562,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1567,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1567,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1568,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1568,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1593,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1593,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1735,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1735,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1735,"R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 54",Reference,
1.075,,,,,,,,,,1744,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1744,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1773,"H. Seyrig, Tresors du Levant (Paris, 1974) ",Reference,1.075
1.075,,,,,,,,,,1773,"SNR 53, 1974, 7-13",Reference,1.075
1.075,,,,,,,,,,1773,"R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 55",Reference,
1.075,,,,,,,,,,1773,"H.B. Mattingly, ‘The Beginning of Athenian New Style Silver Coinage’, NC 1990, p. 70",Reference,
1.075,,,,,,,,,,1773,"W.E. Metcalf, ‘A late second-century hoard of posthumous Alexanders’, SNR 1994, pp. 19, 41, 48-49, 52",Reference,
1.077,,,,,,,,,,,"in commerce",Disposition,1.077
1.077,,,,,,,,,,,"to be published by Fred Kleiner",Note,1.077
1.094,,,,,,,,,,,dispersed.,Disposition,1.094
1.094,,,,,,,,,,,"Photos on file in ANS",Note,1.094
1.096,,,,,,,,,,,"in commerce, ANS, BM, Hamburg",Disposition,1.096
1.096,,,,,,,,,,,"to be published by H.A. Troxell",Note,1.096
1.102,,,,,,,,,,,"G. Taylor, Berytus 1971, 43-5",Reference,1.102
1.103,,,,,,,,,,,dispersed,Disposition,1.103
1.105,,,,,,,,,,1746,"X.A. Mushegyan, ‘Monetnye Kladi Armenii I, 1973",Reference,1.105
1.107,,,,,,,,,,,dispersed,Disposition,1.107
1.107,,,,,,,,,,,"on file in BM",Note,1.107
1.108,,,,,,,,,,,dispersed,Disposition,1.108
1.108,,,,,,,,,,,"some details on file in BM",Note,1.108
1.109,,,,,,,,,,1420,Istanbul,Disposition,1.109
,2.001,,,,,,,,,,"M.J. Price, ‘A Field in Western Thrace’, in CH II, p. 7",Reference,2.001
,2.002,,,,,,,,,"1289, 1290",London,Disposition,2.002
,2.002,,,,,,,,,"1289, 1290","R.H.J. Ashton, ‘IGCH 1289 and 1290 Reconsidered’, in CH II, p. 8",Reference,2.002
,2.004,,,,,,,,,,"C. Preda, Pontica, 1974, 139-141",Reference,2.004
,2.007,,,,,,,,,689,"M. Laloux, RBN 1971, 38",Reference,2.007
,2.007,,,,,,,,,689,"L. Breglia, AIIN, 1971/2, 19",Reference,2.007
,2.010,,,,,,,,,,"dispersed. Ashmolean",Disposition,2.010
,2.010,,,,,,,,,,"some photos on file in BM",Note,2.010
,2.011,,,,,,,,,1178,"BM, inv. 1948-7-12 (8-22)",Disposition,2.011
,2.011,,,,,,,,,1178,"fig. 2",Reference,2.011
,2.011,,,,,,,,,1178,"S.P. Noe, Two Hoards of Persian sigloi, 1956 (ANSNNM no. 136)",Reference,2.011
,2.011,,,,,,,,,1178,"G. Le Rider, ‘Les Trouvailles Monétaires dans le Temple d’Artémis à Sardes (IGCH 1299 et 1300)’, RN 1991, p. 86.",Reference,2.011
,2.011,,,,,,,,,1178,"H. Nicolet-Pierre, ‘Xerxes et la Trésor de l’Athos (IGCH) 362’, RN 1992, p. 16, note 27.",Reference,2.011
,2.110,,,,,,,,,1359,"F. Kleiner, MN 1974, 19 f.",Reference,2.110
,2.021,,,,,,,,,,dispersed,Disposition,2.021
,2.021,,,,,,,,,,"JNFA 4, 2, 1975",Reference,2.021
,2.026,,,,,,,,,,dispersed,Disposition,2.026
,2.026,,,,,,,,,,"Noe NNM 136 hoard",Reference,2.026
,2.026,,,,,,,,,,"on file in BM",Note,2.026
,2.027,,,,,,,,,,"Copenhagen, BM",Disposition,2.027
,2.027,,,,,,,,,,"O. Mørkholm and J. Zahle, Act. Arch 43, 1972, 60 ff, nos. 131, 139, 141, 160",Reference,2.027
,2.032,,,,,,,,,,"on file in BM; ",Note,2.032
,2.032,,,,,,,,,,"see CH 2.038",Note,2.032
,2.036,,,,,,,,,,dispersed,Disposition,2.036
,2.036,,,,,,,,,,"B.E. Vlamis, NR Cyprus 1974, 76.123",Reference,2.036
,2.038,,,,,,,,,,dispersed,Disposition,2.038
,2.038,,,,,,,,,,"JNFA 4.2, 1975",Reference,2.038
,2.040,,,,,,,,,,dispersed,Disposition,2.040
,2.040,,,,,,,,,,"fig. 6",Reference,2.040
,2.041,,,,,,,,,1239,"It has been revealed on good authority that the Philip IIAU st. were not found with the other AU and EL, and they thus form a separate hoard from another part
of Turkey.",Note,2.041
,2.041,,,,,,,,,,"AJA 1974, 308",Reference,2.041
,2.050,,,,,,,,,,"Paris and dispersed",Disposition,2.050
,2.050,,,,,,,,,,"to be published by G. Le Rider",Note,2.050
,2.054,,,,,,,,,,dispersed,Disposition,2.054
,2.059,,,,,,,,,1287,"Ashton collection",Disposition,2.059
,2.059,,,,,,,,,1287,"to be published by Ashton",Note,2.059
,2.060,,,,,,,,,,dispersed,Disposition,2.060
,2.060,,,,,,,,,,"JNFA 4, 1975, 29 illus",Reference,2.060
,2.069,,,,,,,,,,dispersed,Disposition,2.069
,2.069,,,,,,,,,,"Fig. 9",Reference,2.069
,2.073,,,,,,,,,,dispersed,Disposition,2.073
,2.073,,,,,,,,,,"on file in Copenhagen",Note,2.073
,2.080,,,,,,,,,,Athens,Disposition,2.080
,2.080,,,,,,,,,,"M. Oeconomides, Arch. Delt. 27. 1972",Reference,2.080
,2.094,,,,,,,,,,dispersed,Disposition,2.094
,2.094,,,,,,,,,,"fig. 11",Reference,2.094
,2.105,,,,,,,,,,"in commerce",Disposition,2.105
,2.105,,,,,,,,,,"R.H.J. Ashton with A.-P.C. Weiss, ‘The Post-Plinthophoric Silver Drachms of Rhodes’, NC 1997, p. 32, note 34.",Reference,2.105
,2.112,,,,,,,,,,"in commerce",Disposition,2.112
,2.124,,,,,,,,,,Nigde,Disposition,2.124
,2.124,,,,,,,,,,"S. Taner, Anadolu 16, 1972 (1974) 97-107",Reference,2.124
,2.124,,,,,,,,,,"c.f. JNFA 4.2, 1975",Reference,2.124
,2.130,,,,,,,,,,"S. De Roquefeuil, BSFN, 1975, 766-7",Reference,2.130
,,3.002,,,,,,,,1636,"Casts in BM of coins believed to be in Alexandria Museum (republication).",Disposition,3.002
,,3.002,,,,,,,,,"fig. 1",Reference,3.002
,,3.002,,,,,,,,,"M.J. Price, ‘Mit Rahineh (1860), IGCH 1636’, in CH III, 1, p. 6-8",Reference,3.002
,,3.002,,,,,,,,,"J.H. Kagan, ‘An Archaic Greek Coin Hoard from the Eastern Mediterranean and Early Cypriot Coinage’, NC 1994, p. 19 ff.",Reference,3.002
,,3.002,,,,,,,,,"J.H. Kagan and B. Kritt, ‘The Coinage of Kindya’, NC 1995, p. 262",Reference,3.002
,,3.018,,,,,,,,,"dispersed; Istanbul",Disposition,3.018
,,3.018,,,,,,,,,"F. Bodenstedt, Phokaisches Eleckron-Geld von 600-326, CHR, 1975",Reference,3.018
,,3.019,,,,,,,,,Istanbul,Disposition,3.019
,,3.019,,,,,,,,,"F. Bodenstedt, Phokaisches Electon-Geld von 600-326, V. CHR 1975",Reference,3.019
,,3.041,,,,,,,,,"to be published by A. Walker",Note,3.041
,,3.048,,,,,,,,,"British Museum",Disposition,3.048
,,3.076,,,,,,,,,"in commerce",Disposition,3.076
,,,4.009,,,,,,,,"M.S. Balmuth, Actes Cong. Int. Num, 1973, 27-30",Reference,4.009
,,,4.014,,,,,,,,"Bursa Museum",Disposition,4.014
,,,4.024,,,,,,,,"recorded at BM",Note,4.024
,,,4.025,,,,,,,,"in commerce",Disposition,4.025
,,,4.025,,,,,,,,"fig. 5",Reference,4.025
,,,4.047,,,,,,,1315,"Meletopoulos collection, Athens 8",Disposition,4.047
,,,4.047,,,,,,,1315,"c.f. BMC Troas p. 192 note",Reference,4.047
,,,4.055,,,,,,,,"in commerce; BM",Disposition,4.055
,,,4.055,,,,,,,,"fig. 7",Reference,4.055
,,,4.055,,,,,,,,"M.J. Price, Illustrated London News, September 1977, 69",Reference,4.055
,,,4.055,,,,,,,,"H.B. Mattingly, ‘The Beginning of Athenian New Style Silver Coinage’, NC 1990, p. 69, note 9 and p. 71, note 15",Reference,4.055
,,,4.059,,,,,,,1326,"F.S. Kleiner and S.P. Noe, The early cistophoric coinage, 1977, 107-119",Reference,4.059
,,,4.059,,,,,,,1327,"F.S. Kleiner and S.P. Noe, The early cistophoric coinage, 1977, 107-119",Reference,4.059
,,,4.059,,,,,,,1328,"F.S. Kleiner and S.P. Noe, The early cistophoric coinage, 1977, 107-119",Reference,4.059
,,,4.059,,,,,,,1452,"F.S. Kleiner and S.P. Noe, The early cistophoric coinage, 1977, 107-119",Reference,4.059
,,,4.059,,,,,,,1453,"F.S. Kleiner and S.P. Noe, The early cistophoric coinage, 1977, 107-119",Reference,4.059
,,,4.059,,,,,,,1453,"R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 55",Reference,
,,,4.059,,,,,,,1455,"F.S. Kleiner and S.P. Noe, The early cistophoric coinage, 1977, 107-119",Reference,4.059
,,,4.063,,,,,,,1351,"Ashmolean Museum (ex Myres)",Disposition,4.063
,,,4.063,,,,,,,1351,"Listing in addition to IGCH 1351",Note,4.063
,,,4.070,,,,,,,,"in commerce",Disposition,4.070
,,,4.072,,,,,,,,"Private collection",Disposition,4.072
,,,4.072,,,,,,,,"R. Ashton, ‘A Hoard of late Rhodian Plinthophoric Hemidrachms’, NC 1991, pp. 202-204.",Reference,4.072
,,,,5.002,,,,,,,"in commerce",Disposition,5.002
,,,,5.002,,,,,,,"H.B. Wells, SAN X, 1, 1978, 7-9",Reference,5.002
,,,,5.015,,,,,,,"in commerce",Disposition,5.015
,,,,5.016,,,,,,,dispersed,Disposition,5.016
,,,,5.016,,,,,,,"S. Hurter, Essays in honour of M. Thompson, 97-108",Reference,5.016
,,,,5.024,,,,,,,"in commerce",Reference,5.024
,,,,5.027,,,,,,,"in commerce",Reference,5.027
,,,,5.032,,,,,,,"G. Gorini, ‘ The Kupa Hoard’, in CH V, p. 32-33",Reference,5.032
,,,,5.034,,,,,,157,"Athens, Agora Museum",Disposition,5.034
,,,,5.034,,,,,,157,"J.H. Kroll, Essays in honour of M. Thompson, 139-54.",Reference,5.034
,,,,5.034,,,,,,157,"Agora Deposit A 18:8",Reference,5.034
,,,,5.038,,,,,,,dispersed,Disposition,5.038
,,,,5.041,,,,,,,"in commerce",Disposition,5.041
,,,,5.052,,,,,,1358,"F.S. Kleiner, Essays in honour of M. Thompson, 119-30",Reference,5.052
,,,,5.056,,,,,,1456,"F.S. Kleiner, MN 1978, 82-101",Reference,5.056
,,,,5.056,,,,,,1458,"F.S. Kleiner, MN 1978, 82-101",Reference,5.056
,,,,5.056,,,,,,1459,"F.S. Kleiner, MN 1978, 82-101",Reference,5.056
,,,,5.056,,,,,,1460,"F.S. Kleiner, MN 1978, 82-101",Reference,5.056
,,,,5.056,,,,,,1461,"F.S. Kleiner, MN 1978, 82-101",Reference,5.056
,,,,5.056,,,,,,1462,"F.S. Kleiner, MN 1978, 82-101",Reference,5.056
,,,,5.056,,,,,,1464,"F.S. Kleiner, MN 1978, 82-101",Reference,5.056
,,,,,6.011,,,,,,"dispersed, in trade",Disposition,6.011
,,,,,,7.006,,,,,Canakkale,Disposition,7.006
,,,,,,7.007,,,,,"Thirds and sixths shown in Istanbul.",Note,7.007
,,,,,,7.011,,,,,"photos on file in BM",Note,7.011
,,,,,,7.011,,,,,"IGCH 1202?",Note,7.011
,,,,,,7.014,,,,,"in commerce",Disposition,7.014
,,,,,,7.015,,,,,"in commerce, photos in BM",Disposition,7.015
,,,,,,7.020,,,,1179,"Num. Circ. 42, 1934, 496. 37814-32",Reference,7.020
,,,,,,7.027,,,,,"O. Broneer, Isthmia II, 1973, 34 and 36",Reference,7.027
,,,,,,7.027,,,,,"Hesperia 31, 1962, 21",Reference,7.027
,,,,,,7.027,,,,,"H. Nicolet-Pierre, ‘Xerxes et la Trésor de l’Athos (IGCH) 362’, RN 1992, p. 19, note 31 and p. 20",Reference,7.027
,,,,,,7.027,,,,,"Found in excavations",Note,7.027
,,,,,,7.028,,,,,"H.M.F. Schulman 14.6.67, 210-11",Reference,7.028
,,,,,,7.035,,,,,"Num Circ. 36, 1928, 537",Reference,7.035
,,,,,,7.035,,,,,"IGCH 1237?",Note,7.035
,,,,,,7.044,,,,,dispersed,Disposition,7.044
,,,,,,7.047,,,,,"in commerce",Disposition,7.047
,,,,,,7.047,,,,,"fig. 2",Reference,7.047
,,,,,,7.048,,,,,"in commerce",Disposition,7.048
,,,,,,7.049,,,,1664,"Toronto, Royal Ontario Museum",Disposition,7.049
,,,,,,7.051,,,,,"to be published by R. Hepworth",Note,7.051
,,,,,,7.058,,,,,"Private Collection",Disposition,7.058
,,,,,,7.058,,,,,"photos on file in BM",Note,7.058
,,,,,,7.058,,,,,"M. Ierardi, ‘The Tetradrachms of Agothocles of Syracuse: A Preliminary Study’, AJN 7-8 (1995-96), p. 26",Reference,7.058
,,,,,,7.060,,,,,"in commerce",Disposition,7.060
,,,,,,7.060,,,,,"Details recorded at BM",Note,7.060
,,,,,,7.062,,,,,"Num. Circ. 38, 1930, 442",Reference,7.062
,,,,,,7.062,,,,,"IGCH 1362?",Note,7.062
,,,,,,7.066,,,,,"In commerce",Disposition,7.066
,,,,,,7.071,,,,,"to be published by M.J. Price",Note,7.071
,,,,,,7.076,,,,,"Tirgoviste History Museum",Disposition,7.076
,,,,,,7.089,,,,,"in commerce",Disposition,7.089
,,,,,,7.092,,,,,"Num. Circ. VI 1897-8, 2638",Reference,7.092
,,,,,,7.093,,,,888,ANS,Disposition,7.093
,,,,,,7.093,,,,,"N.M. Waggoner, RN 1979, 7-29",Reference,7.093
,,,,,,7.093,,,,,"R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 41 and p. 53, note 34",Reference,
,,,,,,7.093,,,,,"W.E. Metcalf, ‘A late second-century hoard of posthumous Alexanders’, SNR 1994, pp. 19",Reference,
,,,,,,7.095,,,,1343,"Num. Circ. 1948, 337",Reference,7.095
,,,,,,7.099,,,,,"Num. Circ. 1949, 176-9",Reference,7.099
,,,,,,7.100,,,,,"H.M.F. Schulman 9, 12, 66, lots 227-246",Reference,7.100
,,,,,,7.105,,,,,"in commerce",Disposition,7.105
,,,,,,7.105,,,,," R. Bauslaugh, ‘Cistophoric Countermarks and the Monetary Systems of Eumenes II’, NC 1990, p. 54, n. 40",Reference,
,,,,,,7.106,,,,,dispersed,Disposition,7.106
,,,,,,7.126,,,,,Haskovo,Disposition,7.126
,,,,,,7.126,,,,,"Y. Youroukova, Archeologia 4, 1979",Reference,7.126
,,,,,,,8.002,,,,"in trade",Disposition,8.002
,,,,,,,8.002,,,,"pl. I, 5-33.",Reference,8.002
,,,,,,,8.002,,,,"Lanz 13.5.91, 180-1.",Reference,8.002
,,,,,,,8.002,,,,"Lanz 27.11.89, 409.",Reference,8.002
,,,,,,,8.002,,,,"Lanz 12.11.90, 209.",Reference,8.002
,,,,,,,8.002,,,,"part of a much larger hoard",Note,8.002
,,,,,,,8.003,,,,"Odessa Museum",Disposition,8.003
,,,,,,,8.003,,,,"P.O. Karyshkovsky, Monety olvii (Kiev, 1988), p. 28, pl. II, 1-4",Reference,8.003
,,,,,,,8.005,,,,"dispersed in trade",Disposition,8.005
,,,,,,,8.005,,,,"pl. I, 34-39",Reference,8.005
,,,,,,,8.006,,,,"In trade",Disposition,8.006
,,,,,,,8.007,,,,"in trade",Disposition,8.007
,,,,,,,8.007,,,,"pl. I, 40",Reference,8.007
,,,,,,,8.008,,,,"in trade",Disposition,8.008
,,,,,,,8.008,,,,"pl. I, 41-46",Reference,8.008
,,,,,,,8.009,,,,"in trade",Disposition,8.009
,,,,,,,8.009,,,,"A further 280 AR of Croesus-type were rumored to be in the trade in Paris.",Note,8.009
,,,,,,,8.010,,,,"Haifa Museum",Disposition,8.010
,,,,,,,8.010,,,,"Other fractions of Miletus, Colophon, Cebren, Selge seen with the above were probably not from the same find.",Note,8.010
,,,,,,,8.010,,,,"Found with jewellery mainly in fragments",Note,8.010
,,,,,,,8.011,,,,"in trade, part of a larger hoard",Disposition,8.011
,,,,,,,8.011,,,,"pl. I, 47-50; pl. II, 1-21",Reference,8.011
,,,,,,,8.012,,,,"in trade, part of a larger hoard",Disposition,8.012
,,,,,,,8.012,,,,"pl. II, 22-25",Reference,8.012
,,,,,,,8.014,,,,"in trade",Disposition,8.014
,,,,,,,8.190,,,1508,"U. Westermark, NNA (1979/80) pp. 22-35",Reference,8.190
,,,,,,,8.021,,,1185,dispersed,Disposition,8.021
,,,,,,,8.021,,,1185,"J. Kagan, 'IGCH 1185 reconsidered', RBN 138 (1992), pp. 1- 24. ",Reference,8.021
,,,,,,,8.021,,,1185,"J. Kagan, ‘An Archaic Greek Coin Hoard from the Eastern Mediterranean and Early Cypriot Coinage’, NC 1994, p. 19",Reference,8.021
,,,,,,,8.021,,,1185,"Some coins considered as intrusions: Aegina: 2 didr. Rhodes: 2 hemidr. Soloi: 1 st. Tarsus: 1 tetrobol, 1 st.",Note,8.021
,,,,,,,8.022,,,,"seen in trade in Brussels",Disposition,8.022
,,,,,,,8.022,,,,"G. Moucharte, 'A propos d'une découverte de monnaies de Milet', RBN 130 (1984), pp. 19 - 35.",Reference,8.022
,,,,,,,8.025,,,,"Adana Museum, on display (1990)",Disposition,8.025
,,,,,,,8.026,,,,"Burdur Museum, on display 1989",Disposition,8.026
,,,,,,,8.028,,,,"Bolu Museum, on display 1989",Disposition,8.028
,,,,,,,8.030,,,1221,"1 in British Museum",Disposition,8.030
,,,,,,,8.030,,,1221,"E.S. G. Robinson,NC 1937, p. 247, nos. 23, pl XXXII",Reference,8.030
,,,,,,,8.032,,,,"Fethiye Museum",Disposition,8.032
,,,,,,,8.032,,,,"To be published by M. Arslan and A. Dervihagaoglu",Note,8.032
