Contents,Mints,CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,IGCH,Coin count,min coin count,max coin count,coin count approximate,coin count uncertain,Hacksilver coint,Ingot count,lot,Mint 1 URI,Mint 2 URI,mint uncertain,Authority 1 URI,Authority 2 URI,authority uncertain,Stated authority,Dynasty URI,Material 1 URI,Material 2 URI,material uncertain,Denomination 1 URI,Denomination 2 URI,denomination uncertain,Region 1 URI,Region 2 URI,Region 3 URI,Authenticity
,,1.021,,,,,,,,,,1255,44,,,,,,,additional to IGCH,http://nomisma.org/id/celenderis,,,,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,1.021,,,,,,,,,,1255,25,,,,,,,additional to IGCH,http://nomisma.org/id/soli-pompeiopolis,,,,,,,,http://nomisma.org/id/ar,,,,,,,,,
52 AR fracs,"Colophon 25
Ephesus 3
Miletus 6
Teos 1/4 obs 10
1/8 obs 1
1/16 ob 1
Celenderis ? 1
Uncertain 5",1.023,,,,,,,,,,,,,,,,,,,http://nomisma.org/id/colophon,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/fraction,,,,,,
,,1.023,,,,,,,,,,,3,,,,,,,,http://nomisma.org/id/ephesus,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/fraction,,,,,,
,,1.023,,,,,,,,,,,6,,,,,,,,http://nomisma.org/id/miletus,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/fraction,,,,,,
,,1.023,,,,,,,,,,,10,,,,,,,,http://nomisma.org/id/teos,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/quarter-obol,,,,,,
,,1.023,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/teos,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/eighth-obol,,,,,,
,,1.023,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/teos,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/sixteenth-obol,,,,,,
,,1.023,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/celenderis,,TRUE,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/fraction,,,,,,
,,1.023,,,,,,,,,,,5,,,,,,,,,,TRUE,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/fraction,,,,,,
28+ AR,"Rhodes 2 tetr. 20 didr.
Cos 3 dr.
Samos 1 tetr. 1 sun st.
Colophon. 1 tetr.",1.028,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/rhodes,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.028,,,,,,,,,,,20,,,,,,,,http://nomisma.org/id/rhodes,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/didrachm,,,,,,
,,1.028,,,,,,,,,,,3,,,,,,,,http://nomisma.org/id/cos,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.028,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/samos,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.028,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/samos,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.028,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/colophon,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
87+ AR,Rhodes 87+ tetr.,1.029,,,,,,,,,,1209,,87,,,TRUE,,,,http://nomisma.org/id/rhodes,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
6+ AR,Side 6+ st.,1.030,,,,,,,,,,,,6,,,TRUE,,,,http://nomisma.org/id/side,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
60+ AR,"Byzantium 'several' st., 1+ dr.; 14+ 1/2 dr.
Chalcedon 'several' st., 1+ third; 16+ dr.; 6+ 1/2 dr.",1.031,,,,,,,,,,,,,,,TRUE,,,,http://nomisma.org/id/byzantium,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.031,,,,,,,,,,,,1,,,TRUE,,,,http://nomisma.org/id/byzantium,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.031,,,,,,,,,,,,14,,,TRUE,,,,http://nomisma.org/id/byzantium,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/hemidrachm,,,,,,
,,1.031,,,,,,,,,,,,,,,TRUE,,,,http://nomisma.org/id/calchedon,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.031,,,,,,,,,,,,1,,,TRUE,,,,http://nomisma.org/id/calchedon,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/third-stater,,,,,,
,,1.031,,,,,,,,,,,,16,,,TRUE,,,,http://nomisma.org/id/calchedon,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.031,,,,,,,,,,,,6,,,TRUE,,,,http://nomisma.org/id/calchedon,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/hemidrachm,,,,,,
38 AR,Nagidus 38 AR st,1.032,,,,,,,,,,1265,38,,,,,,,,http://nomisma.org/id/nagidus,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
573+ AR,Persia 573+ sigloi,1.034,,,,,,,,,,,,573,,,TRUE,,,,http://nomisma.org/id/persia,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/siglos,,,,,,
15+ AR,Persia sigloi,1.035,,,,,,,,,,,,15,,,TRUE,,,,http://nomisma.org/id/persia,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/siglos,,,,,,
21+ AR,Persia sigloi,1.036,,,,,,,,,,,,21,,,TRUE,,,,http://nomisma.org/id/persia,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/siglos,,,,,,
90+ AR,"Philip II 13 tetradrachms
Alexander IIIA 19 tetradrachms:

Amphipolis 8 (Price identifies types)
Ake
Babylon 2
Aradus
Lycia (Side)
Alexandria 2

From another source:

Myriandrus
Ake 2
Uncertain mint

Larissa 10 dr.
Thebes 2 st.
Opuntii 2 st.
Athens 43 tetradrachms",1.040,,,,,,,,,,,8,,,,,,,,http://nomisma.org/id/amphipolis,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.040,,,,,,,,,,,3,,,,,,,,http://nomisma.org/id/ace_ptolemais,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.040,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/babylon,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.040,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/aradus,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.040,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/side,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.040,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/alexandreia_egypt,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.040,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/myriandrus,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.040,,,,,,,,,,,1,,,,,,,,,,TRUE,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.040,,,,,,,,,,,13,,,,,,,,,,,http://nomisma.org/id/philip_ii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.040,,,,,,,,,,,10,,,,,,,,http://nomisma.org/id/larissa_thessaly,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.040,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/thebes,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.040,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/opus,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/stater,,,,,,
,,1.040,,,,,,,,,,,45,,,,,,,,http://nomisma.org/id/athens,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
11+ AE,"Scepsis 1
Cebren 2
Cyzicus 1
Ephesus 1
Aegae 1
Alexandria Troas 1
Antandrus 1
Methymna 1",1.053,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/scepsis,,,,,,,,http://nomisma.org/id/ae,,,,,,,,,
,,1.053,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/antiocheia_cebren,,,,,,,,http://nomisma.org/id/ae,,,,,,,,,
,,1.053,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/ephesus,,,,,,,,http://nomisma.org/id/ae,,,,,,,,,
,,1.053,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/cyzicus,,,,,,,,http://nomisma.org/id/ae,,,,,,,,,
,,1.053,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/aegae_aeolis,,,,,,,,http://nomisma.org/id/ae,,,,,,,,,
,,1.053,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/alexandreia_troas,,,,,,,,http://nomisma.org/id/ae,,,,,,,,,
,,1.053,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/antandrus,,,,,,,,http://nomisma.org/id/ae,,,,,,,,,
,,1.053,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/methymna,,,,,,,,http://nomisma.org/id/ae,,,,,,,,,
16+ AR,"Rhodes 1 didr.
Chios 2 dr. 1 dr.
Colophon 2 dr.
Cos 1 didr. 9 dr.",1.054,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/rhodes,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/didrachm,,,,,,
,,1.054,,,,,,,,,,,3,,,,,,,,http://nomisma.org/id/chios,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.054,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/colophon,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.054,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/cos,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/didrachm,,,,,,
,,1.054,,,,,,,,,,,9,,,,,,,,http://nomisma.org/id/cos,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
298+ AR,"Alexander III 224+
Philip III 58+
Seleucus I 12",1.055,,,,,,,,,,,,224,,,TRUE,,,,,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.055,,,,,,,,,,,,58,,,TRUE,,,,,,,http://nomisma.org/id/philip_iii_arrhidaeus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.055,,,,,,,,,,,12,,,,,,,,,,,http://nomisma.org/id/seleucus_i,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
94+ AR,"Alexander III 77
Philip III 14
Seleucus I 2
Lysimiachus 1",1.056,,,,,,,,,,,77,,,,,,,,,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,1.056,,,,,,,,,,,14,,,,,,,,,,,http://nomisma.org/id/philip_iii_arrhidaeus,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,1.056,,,,,,,,,,,2,,,,,,,,,,,http://nomisma.org/id/seleucus_i,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,1.056,,,,,,,,,,,1,,,,,,,,,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,,,,,,,
19+ AR,"Alexander III 
Babylon 2 tetra
Colophon 2 dr
Miletus 1 dr
uncertain 7 dr.
Lysimachus 4
Antiochus I 2
Attalus I 1",1.059,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/babylon,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.059,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/colophon,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.059,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/miletus,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.059,,,,,,,,,,,7,,,,,,,,,,TRUE,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.059,,,,,,,,,,,4,,,,,,,,,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,1.059,,,,,,,,,,,2,,,,,,,,,,,http://nomisma.org/id/antiochus_i,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,1.059,,,,,,,,,,,1,,,,,,,,,,,http://nomisma.org/id/attalus_i,,,,,http://nomisma.org/id/ar,,,,,,,,,
18+ AR,"Ephesus 7 octobs
11 trihemiobs",1.066,,,,,,,,,,,7,,,,,,,,http://nomisma.org/id/ephesus,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/eighth-obol,,,,,,
,,1.066,,,,,,,,,,,11,,,,,,,,http://nomisma.org/id/ephesus,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/trihemiobol,,,,,,
37+ AU,"Egypt Berenice 3+ octobs
Arsinoe II 4+ octobs (Tyre 3, Sidon 1)
Theon Adelphon 1 octadr. 18+ tetra.
Ptolemy IV 1 octadr.",1.069,,,,,,,,,,,,3,,,TRUE,,,,,,,http://nomisma.org/id/berenice_ii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/eighth-obol,,,,,,
,,1.069,,,,,,,,,,,3,,,,,,,,http://nomisma.org/id/tyre,,,http://nomisma.org/id/arsinoe_ii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/eighth-obol,,,,,,
,,1.069,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/sidon,,,http://nomisma.org/id/arsinoe_ii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/eighth-obol,,,,,,
,,1.069,,,,,,,,,,,,18,,,TRUE,,,,,,,http://nomisma.org/id/ptolemy_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.069,,,,,,,,,,,,1,,,,,,,,,,http://nomisma.org/id/ptolemy_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/octadrachm,,,,,,
,,1.069,,,,,,,,,,,,1,,,,,,,,,,http://nomisma.org/id/ptolemy_iv,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/octadrachm,,,,,,
100+ AR,"Alexander III 6+
Lysimachus 22+
Demetrius Poliorcetes 4+
Antigonos Gonatas 1
Seleucid 17+
Attalid 20+",1.073,,,,,,,,,,,,,,,,,,,,,,,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://nomisma.org/id/ar,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://nomisma.org/id/ar,,,,,,,,,
148 AR,"Alexander III
Pergamum 1
Miletus 1
Uncertain 1
Lysimachus
Pergamum 1
Magnesia 1 dr.
Lampsacus 1
Calchedon 2
Byzantium 2
Sestus 2
Lysimacheia 2
Aenus 2
Amphipolis 1
Uncertain 2
Demetrius Poliorcetes
Salamis? 1
Amphipolis 3
Pella 1
Antigonys Gonatas 12
Perga 1
Pergamum 6
Sinope 1
Antiochus I Seleucia 3
Antiochus II Seleucia 7, Antioch 2, Sardes 1
Seleucus II Tarsus 2, Sardes 15, Ilium 1, Antioch 12, Apamea 5, Nisibis 6, Seleucia 3, Hectompylus 1, Uncertain 21
Seleucus III Tarsus 6, Antioch 10, Simyra 2, Seleucia 1
Hierax Alexandria Troas 2, parium 1
Antiochus III Seleucia ad Calycadnum 1, Antioch 1, Laodiceia 1, uncertain 1",1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/pergamum,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/miletus,,,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,,,TRUE,http://nomisma.org/id/alexander_iii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/pergamum,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/magnesia_ad_maeandrum,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/drachma,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/lampsacus,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/calchedon,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/byzantium,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/sestus,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/lysimachia,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/aenus,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/amphipolis,,,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,2,,,,,,,,,,TRUE,http://nomisma.org/id/lysimachus,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/salamis_attica,,TRUE,http://nomisma.org/id/demetrius_i,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,3,,,,,,,,http://nomisma.org/id/amphipolis,,,http://nomisma.org/id/demetrius_i,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/pella_macedon,,,http://nomisma.org/id/demetrius_i,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,12,,,,,,,,,,TRUE,http://nomisma.org/id/antigonus_ii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/perge,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,6,,,,,,,,http://nomisma.org/id/pergamum,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/sinope,,,,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,3,,,,,,,,http://nomisma.org/id/seleuceia_ad_tigrim,,,http://nomisma.org/id/antiochus_i,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,7,,,,,,,,http://nomisma.org/id/seleuceia_ad_tigrim,,,http://nomisma.org/id/antiochus_ii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/antiocheia_syria,,,http://nomisma.org/id/antiochus_ii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,1,,,,,,,,http://nomisma.org/id/sardes,,,http://nomisma.org/id/antiochus_ii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,"Seleucus II Tarsus 2, Sardes 15, Ilium 1, Antioch 12, Apamea 5, Nisibis 6, 
Seleucia 3, Hectompylus 1, Uncertain 21",1.074,,,,,,,,,,,2,,,,,,,,http://nomisma.org/id/tarsus,,,http://nomisma.org/id/seleucus_ii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
,,1.074,,,,,,,,,,,15,,,,,,,,http://nomisma.org/id/sardes,,,http://nomisma.org/id/seleucus_ii,,,,,http://nomisma.org/id/ar,,,http://nomisma.org/id/tetradrachm,,,,,,
