"id","value","type"
"igch2312","de Guadan, Numisma 36 (1955), p. 16; MPER,  pp. 110-5","ref"
"igch1978","Lecce (Museo Castromediano)","disposition"
"igch1978","RassNum. 1931, p. 170","ref"
"igch1978","Noe names this hd. &#x022;Lecce, prov. of,&#x022; but a letter to him from Dr. M. Bernardini of the Museo Castromediano, dated March 17, 1934, gives the provenance as Torchiarolo. Possibly part of the large Torchiarolo 1926 hd., no. 1977 above","note"
"igch1037","Tiflis","disposition"
"igch1037","Pakhomov IV, 1001","ref"
"igch1660","London","disposition"
"igch1660","Hill, NC 1917, p. 9, illus.","ref"
"igch1660","Regling, ZfN 1927, p. 3, note 2","ref"
"igch0089","Athens","disposition"
"igch0089","Oeconomides, A Delt 1963, Chronika, p. 50, illus.;  1968, Chronika, p. 12","ref"
"igch1652","London 2 (Athens, ex Langton)","disposition"
"igch1652","Eddé, RassNum. 1905, pp. 51-5, illus.; Boll. di  Num. 1905, p. 129","ref"
"igch1652","NC 1906, &#x022;Proceedings,&#x022; p. 14","ref"
"igch1652","Regling, ZfN 1927, p. 4","ref"
"igch2340","Barcelona (Inst. de Arqu.) part","disposition"
"igch2340","Pericot, Ampurias 1943, p. 202; 1944, p. 323,  illus.","ref"
"igch2340","Beltran y Villagrasa, Ampurias 1945-6, pp. 311-5","note"
"igch2340","Maluquer-Oliva, Pyrenae 1965, pp. 115-22","ref"
"igch2340","de Guadan, MPER, pp. 144-50","ref"
"igch0950","Pazardzik 14","disposition"
"igch0950","BIAB 14 (1940-2), p. 283","ref"
"igch1893","Naples","disposition"
"igch1893","Pozzi, AIIN 1962-4, pp. 91-109, illus.","ref"
"igch1893","Kraay, AttiMemSocMagnaGrecia 1967, pp. 127-9","ref"
"igch1709","London 2","disposition"
"igch1709","Petrie, Tanis, pp. 25-6 (BMC references)","ref"
"igch0906","dispersed","disposition"
"igch0906","Gerasimov, BIAB 11 (1937), p. 316","ref"
"igch0906","* Identified as 4th cent. dr. but see Le Rider,  Deux trésors, p. 50, note 2","note"
"igch0611","private coll. (the majority)","disposition"
"igch0611","Berkeszi, TRÉ 23 (1907), p. 28","ref"
"igch0611","Mitrea, ED 10 (1945), p. 88, no.","ref"
"igch2297","Syracuse","disposition"
"igch2297","Cesano, StudNum 1940, p. 61","ref"
"igch2297","Currò Pisanò AIIN 1962-4, p. 232","note"
"igch2297","Note by G. K. Jenkins in BM","note"
"igch1554","Istanbul","disposition"
"igch1554","Seen by M","ref"
"igch2293","Cagliari","disposition"
"igch2293","Taramelli NSc 1932, pp. 88-102, illus. (also  mentions some intrusive late Roman and mediaeval)","ref"
"igch2293","AJA 1932, p. 546","ref"
"igch2293","RN 1932, p. 239 (mentions coins of Mauretania- wrong attribution)","ref"
"igch2293","Crawford, RRCH 100","ref"
"igch1104","Leningrad (part, merged with  main collection)","disposition"
"igch1104","Sibirskii, ZOOID 10 (1877), p. 39","ref"
"igch1391","dispersed","disposition"
"igch0489","Pleven","disposition"
"igch0489","Gerasimov, BIAB 30 (1967), p. 189","ref"
"igch1359","Boston 38","disposition"
"igch1359","Thompson, Athens, p. 448, note 1","ref"
"igch1359","To be published by F. Kleiner","note"
"igch0139","Athens","disposition"
"igch0139","Varoucha, A Delt 1964, Chronika, p. 10","ref"
"igch0145","dispersed","disposition"
"igch0145","Information from P. Franke who has list and  casts","note"
"igch1797","Teheran","disposition"
"igch1797","Newell, ESM, pp. 559-61","ref"
"igch0668","dispersed","disposition"
"igch0668","Ackner, AVSL 4 (1851), pp. 19-21","ref"
"igch0668","Mitrea, ED 10 (1945), p. 89, no. 22","ref"
"igch0668","* These are described as having a helmeted  Athena hd./IIA and forepart of a galley. Are they poorly-preserved coins of an Illyrian mint, perhaps Dyrrha- chium?","note"
"igch1911","Reggio 70","disposition"
"igch1911","Putorti, NSc 1914, pp. 159-60; BLM 1913, 5411","ref"
"igch1911","Jenkins, Gela, p. 157","ref"
"igch0297","Athens","disposition"
"igch0297","Roussel, Délos, p. 48, note 4 (70)","ref"
"igch0297","Thompson, Athens (Delos ΞΘ), pp. 513-4, illus.","ref"
"igch0297","Lewis, NC 1962, pp. 282-3","ref"
"igch0297","Hackens, BCH 1905, p. 556","ref"
"igch0297","A coin of Andreas and one of Dositheos are  not in Svoronos' inventory and may not belong to the bd. as published in Athens","note"
"igch0738","New York 120 (chiefly Chers.) ;  Paris 3 Chers.; Athens 1 Byzantium","disposition"
"igch0738","Varoucha, BCH 1956, p. 228","ref"
"igch0738","Le Rider, Deux trésors, p. 54, note 1, illus. (3)","ref"
"igch0738","With the New York lot was a st. of  Mazaeus from Tarsus but this is most probably intrusive","note"
"igch1939","Reggio (included in no. 1898,  Cotron 1927)","disposition"
"igch1939","Kraay, SNR 1970, p. 71","ref"
"igch1939","See also no. 1898 above","note"
"igch0844","Stara Zagora","disposition"
"igch0844","Gerasimov, BIAB 30 (1967), p. 188","ref"
"igch0126","Athens","disposition"
"igch0126","Roussel, Délos, p. 48, note 4 (50)","ref"
"igch0963","dispersed","disposition"
"igch0963","Gerasimov, BIAB 15 (1946), p. 242","ref"
"igch2336","Madrid","disposition"
"igch2336","Millán, in San Valereo Aparisi, El tesero pre- imperial de plata de Drieves (Minist. Educ. Nacional Com. general de excavaciones arqueologicas, Informes y Memorias 9, Madrid, 1945), pp. 36-9, illus.","ref"
"igch2336","de Guadan, Numisma 16 (1955), p. 19; MPER,  pp. 150-3","ref"
"igch2336","Villaronga, GacNum 9 (1968), pp. 24-5; MHC  (forthcoming)","ref"
"igch2336","Raddatz, Schatzfunde, pp. 210-22, illus.","ref"
"igch2336","Crawford, RRCH 107","ref"
"igch2336","Allen, NC 1969, pp. 40, 62-3","ref"
"igch1293","dispersed","disposition"
"igch1293","Pfeiler, SM 1971, pp. 61-7, illus.","ref"
"igch2283","unknown","disposition"
"igch2283","Spano, BAS 1855, p. 155: 1858, pp. 65, 100, illus.","ref"
"igch2283","Müller, Afrique 2, p. 108, note 1","ref"
"igch2283","Bornemann, BlM 1900, pp. 118-9","ref"
"igch2283","Scano not anc. Cornus, as Noe","note"
"igch0318","London 3 (Perseus and Cretan  coins)","disposition"
"igch0318","Note from E. S. G. Robinson, no further details","note"
"igch0318","It seems possible that this small lot  represents fragments of two separate hds.: the Cyrene didr. from Crete 1936 (no. 154 above) and the London coins from Hierapytna 1933 ? (no. 352 below)","note"
"igch0406","Athens","disposition"
"igch0406","Varoucha, BCH 1939, p. 288","ref"
"igch0240","M. Wallace, Toronto","disposition"
"igch0240","Wallace, NNM 134 (1956), pp. 121-3","ref"
"igch0240","* Considered intrusive by Wallace","note"
"igch1179","dispersed","disposition"
"igch1179","Casts in ANS","ref"
"igch1205","dispersed","disposition"
"igch1205","Newton, Travels and Discoveries in the Levant 1  (London, 1865), p. 226, illus.","ref"
"igch1205","Regling, Frankfurter Münzzeitung 1917, pp. 255,  257","ref"
"igch1312","London 4","disposition"
"igch1312","Hill, NC 1930, p. 297, illus.","ref"
"igch0841","V. Haralanov, Sumen 12 Alex- ander, 1 Cassander","disposition"
"igch0841","Gerasimov, BIAB 17 (1950), p. 317","ref"
"igch1031","Tiflis","disposition"
"igch1031","Pakhomov II, 303","ref"
"igch1031","Zograph, &#x022;Nakhodky,&#x022; 42","ref"
"igch0234","dispersed. Münz. u. Med. Nov. 17, 1962, 444 and F.P.L. May, 1962, 12. Cf. Kress Oct. 4, 1962, 116","disposition"
"igch0234","Varoucha, BCH 1962, p. 422, no. 9 (in all  probability part of this hd.)","ref"
"igch0234","Thompson, ANSMN 11 (1964), pp. 77-80, illus.","ref"
"igch0411","Sofia 2657","disposition"
"igch0411","Gerasimov, BIAB 26 (1963), p. 264","ref"
"igch2166","Agrigento","disposition"
"igch2166","Griffo, AIIN 1955, pp. 199-200","ref"
"igch2166","Jenkins, Gela, p. 157","ref"
"igch2166","Confiscated at same time as S. Caterina  Villarmosa (no. 2089 above); various other coins were also confiscated (see Griffo), but there is no evidence for their association with either hd.","note"
"igch2123","(decadr.): Syracuse 2; A. S.  Dewing, ex Philadelphia, Penn. Acad. of Fine Arts, 10-12 (= nos. 1 [Cimon]?, 6-16 of the Spink publication, whose no. 11 is doubtfully from this hd.); Boston 1 (Brett 421); Jameson 1 (Cat. 835 = NC 1891, pl. 12); New York (Met. Mus.) 3 (= Ward Cat. 293-5); Berlin, von Gwinner, 1; Baltimore, Evergreen House, ex J. W. Garrett, 1. Most of preceding are catalogued in Gallatin","disposition"
"igch2123","Evans, NC 1891, pp. 217-54, illus.","ref"
"igch2123","Some Additional Medallions (14) from the Santa  Maria Hoard (Spink & Son, n.d.), 2 pl., no text","note"
"igch2123","Jenkins, ANSCent., p. 377","ref"
"igch2123","Currò Pisanò, AIIN 1962-4, p. 221","ref"
"igch2123","AN 1890, p. 184 and Procès-verbaux, p. 9 report  as many as 150 decadr.","ref"
"igch2286","Ratto, Genoa","disposition"
"igch2286","Bornemann, BlM 1900, p. 118 and note 2","ref"
"igch1718","London","disposition"
"igch1718","Information from G. K. Jenkins","note"
"igch0981","museum material lost during  war","disposition"
"igch0981","Shtern, ZOOID 28 (1910), ''Protokoly,&#x022; p. 40","ref"
"igch2093","dispersed","disposition"
"igch2093","Sambon, F.P.L. 248 (1885), p. 20; 206 (1903), p. 11","ref"
"igch2093","Jenkins, Gela, pp. 148-9","ref"
"igch2093","Of two AV of Acragas at Syracuse (M. T.  Currò Pisanò, AIIN 1962-4, p. 221, s.v. Sortino, before 1889), one has a hd. provenance arid is probably from this find. The other may be a stray find from Sortino (about 30 km. NW of Syracuse), unless indeed this hd. was actually found at Sortino and only marketed at Catania. Jenkins notes the existence in private possession in England of 1 Acragas, 1 KA, and 4 Syracuse, which may also derive from this hd.","note"
"igch2011","Naples","disposition"
"igch2011","Breglia, Numismatica (1946), pp. 1-5","ref"
"igch2011","Crawford, RRCH 48","ref"
"igch1953","dispersed","disposition"
"igch1953","Gamurrini, PerNumSfrag 1872, p. 209","ref"
"igch1004","Leningrad (part, merged with  main coll.)","disposition"
"igch1004","Bertier de la Garde, NS(Russian) 1911, p. 37,  note","ref"
"igch0031","New York","disposition"
"igch0031","Newell records the coins, purchased in 1929 from  Seltman, as from the Scyros hd. but gives no further information","note"
"igch2250","Syracuse","disposition"
"igch2250","Gentili, AIIN 1955, p. 197","ref"
"igch2250","Thomsen, ERC I, p. 122","ref"
"igch2250","Crawford, RRCH 127","ref"
"igch0794","dispersed","disposition"
"igch0794","Gerasimov, BIAB 11 (1937), p. 316","ref"
"igch1050","dispersed","disposition"
"igch1050","Vasmer, 37","ref"
"igch1596","New York 29","disposition"
"igch1596","Newell, NNM 73 (1936), pp. 22-6","ref"
"igch0626","dispersed","disposition"
"igch0626","Moisil, Balcania 1944, p. 14","ref"
"igch0389","New York","disposition"
"igch1645","Berlin 53 and dumps etc., cf.  Hirsch June 2, 1902","disposition"
"igch1645","Dressel-Regling, ZfN 1927, pp. 104-38, illus. (no.  241 = Zancle)","ref"
"igch1645","Brown, NC 1950, p. 185","ref"
"igch1645","Schlumberger, L'argent grec, p. 11, no. 40","ref"
"igch1645","Kraay, NC 1956, pp. 50-1","ref"
"igch1645","Barron, Samos, p. 44","ref"
"igch0073","O. Dodson","disposition"
"igch0073","List on file in ANS","ref"
"igch0073","* In addition to the 60 pieces of 4th cent.  date, the record includes 1 triob. of a later period (as BMC 201-2), which would seem to be intrusive","note"
"igch2257","Syracuse","disposition"
"igch2257","Currò Pisanò, AIIN 1962-4, p. 232","ref"
"igch1136","museum material lost during  war","disposition"
"igch1136","Zograph, Ol'viia 1940, p. 295","ref"
"igch1136","Dobrovol's'kii, Arkheologiia 7 (Kiev, 1952), p. 87,","ref"
"igch1136","no. 94 (in Ukrainian)","note"
"igch2374","St.-Germain-en-Laye (part)","disposition"
"igch2374","Allotte de la Fuÿe, Tourdan, 62 pp., illus.","ref"
"igch2374","Blanchet, Traité, p. 569, no. 124 (totals of Gallic here given would make hd. total 314); RN 1896, pp. 131-2","ref"
"igch2374","Rolland, RN 1959-60, p. 48 (109 ob. examined)","ref"
"igch1392","dispersed","disposition"
"igch1392","185 coins of the type Aegis/Nike from  Amisus and Amastris were registered en bloc","note"
"igch0832","dispersed","disposition"
"igch0832","Gerasimov, BIAB 15 (1946), p. 239","ref"
"igch2084","Hoyt Miller 36 (presumably  most are now New York but only 7 can be firmly identified: 3 Gela, 1 Himera, 1 Leontini, 2 Syracuse); A. H. Lloyd 117 (incl. SNG 800-1, 808, 891, 952, 959, 961-2, 966, 969, 1019, 1052-6, 1059, 1220, 1225, 1230, 1241-66, 1308, 1316, 1318, 1320, 1322-3, 1328-30, 1333-8, 1341). Twelve coins of Selinus given to BM by Lloyd in 1924 (Ill. Lond. News 1924, p. 1246), obviously from this hd., are presumably included in the 117 acquired by him","disposition"
"igch2084","Lloyd, NC 1925, pp. 277-300, illus.","ref"
"igch2084","Herzfelder, Rhegion, pp. 47-9","ref"
"igch2084","Jenkins, Gela, pp. 66, 159","ref"
"igch1738","unknown","disposition"
"igch1738","Talyzin, Zapiski Obshchestva liubitelei Kavkazskoi  arkheologii 1 (Tiflis, 1875), p. 184","ref"
"igch1738","Vasmer, ZfN 1926, p. 278","ref"
"igch1738","Pakhomov II, no. 319","ref"
"igch1738","Zograph, &#x022;Nakhodky,&#x022; no. 79","ref"
"igch1977","Taranto","disposition"
"igch1977","Breglia, Memorie Reale Accademia di Archeologia,  Lettere e Belle Arti, Naples VI (1939), pp. 39-76","ref"
"igch1977","Stazio, AIIN 1965-7, pp. 41-4","ref"
"igch1977","Crawford, RRCH 11","ref"
"igch1977","See no. 1978 below for another possible  section of this hd.; the small number of st. of Per. VII-VIII listed above is surprising. Breglia no. 1807 (Pegasus with plow symbol) was attributed by her to Thyrrheium; it has been re- attributed above to Corinth (cf. Ravel, nos. 1021-4)","note"
"igch1958","Reggio 972; New York 4  (SNG 2, 370, 396-8), Oxford 1 (SNG 724); Lockett 1-3 (SNG 404?, 405, 406 ?); London 1 (as SNGLockett 406); Vlasto 1 (Cat. 18)","disposition"
"igch1958","Numismatica I, pp. 18-40","ref"
"igch1958","Procopio, AIIN 1957, pp. 25-65, illus. (the  Reggio coins)","ref"
"igch1958","Stazio, AIIN 1965-7, pp. 48-49","ref"
"igch1958","A letter from Vlasto in the ANS confirms  that his Cat. 18, although ascribed to Noe 689, is from this hd.","note"
"igch1958","Notes in the ANS state that Lockett  purchased from this hd. 3 coins as his 404-6","note"
"igch1958","In addition to the bulk of the hd. preserved  at Reggio, it seems likely that c. 40 AV of Metapontum (most with Leucippus hd.) were dispersed. A note in the ANS states that all the hd. coins as SNGLockett 406 were more worn than the other Metapontum AV. This note further describes 120-125 AR seen in commerce which purportedly were from this hd.: c. 100 Taras, 7 Meta- pontum, 5 Croton, 1 Locri, and 2 Thurian dist. The Locri coin is de- scribed as ϕ type (probably a Pega- sus); the others were similar to those at Reggio","note"
"igch1958","ANSSNG 1, 1215, published as from this  hd., is of Per. VIII and probably from no. 1997 below","ref"
"igch1172","Athens 8 (1 Athens, 7 Chios)","disposition"
"igch1172","Seltman, Athens, p. 148","ref"
"igch1040","Tiflis","disposition"
"igch1040","Pakhomov IV, 998","ref"
"igch0920","dispersed","disposition"
"igch0920","Gerasimov, BIAB 12 (1938), p. 456","ref"
"igch1527","Istanbul","disposition"
"igch1527","Seen by M","ref"
"igch1656","Alexandreia","disposition"
"igch1656","Dutilh, JIAN 1898, p. 148; RBN 1905, p. 162","ref"
"igch1656","Jenkins, NC 1955, p. 150 (poss. part of Demanhur  hd., no. 1654 above)","ref"
"igch0571","Vraca","disposition"
"igch0571","Gerasimov, BIAB 27 (1964), p. 237","ref"
"igch0824","Pazardzik 2","disposition"
"igch0824","Gerasimov, BIAB 15 (1946), p. 235","ref"
"igch0731","unknown","disposition"
"igch0731","Gerasimov, BIAB 15 (1946), p. 243","ref"
"igch0482","Athens","disposition"
"igch0482","Varoucha, BCH 1960, p. 485","ref"
"igch0868","Istanbul","disposition"
"igch0868","Regling's ms. notes","ref"
"igch2088","Syracuse","disposition"
"igch2088","Orsi, MonAnt 1890, p. 828; AttiMemIIN 1932,  p. 44","ref"
"igch1706","London","disposition"
"igch1706","Information from G. K. Jenkins","note"
"igch1362","New York 11; Naville July 2, 1930, nos. 861-9","disposition"
"igch1975","E. P. Warren from whom  Berlin 7, London 29, Vlasto 11 (Cat. 747, 754, 758, 826, 829, 831-3, 873-5)","disposition"
"igch1975","Vlasto, NC 1930, pp. 107-63, illus.","ref"
"igch1975","Stazio, AIIN 1965-7, p. 25","ref"
"igch1302","dispersed","disposition"
"igch1302","Seyrig, RN 1963, p. 26, note 1. Seyrig's list of  varieties is in ANS","ref"
"igch0967","Sofia 20","disposition"
"igch0967","Mouchmov, BSAB 6 (1916-8), p. 163","ref"
"igch2218","dispersed","disposition"
"igch2218","Seen in commerce, 1965","ref"
"igch0745","von Prokesch-Osten 32 Chers.","disposition"
"igch0745","von Prokesch-Osten, Inedita (Vienna, 1859), pp.  303-4","ref"
"igch0227","Athens 6","disposition"
"igch0227","Varoucha, Pepragmena tou B' Diethnous Kretolo- gikou Synedriou, 2 (Athens, 1968), pp. 214-5","ref"
"igch0227","This hd. may originally have contained  33 pieces","note"
"igch0883","dispersed","disposition"
"igch0883","Reported by T. Gerasimov","note"
"igch0243","Athens","disposition"
"igch0243","Information from M. Oeconomides","note"
"igch0243","See no. 260 below (Noe 802)","note"
"igch1269","Ankara (inv. no. 1870)","disposition"
"igch1269","Information from Saadet Taner","note"
"igch0471","Thessalonica","disposition"
"igch0471","The alleged findspot is peculiar in view of  the composition of the hd.","note"
"igch1682","dispersed (cf. Naville Oct. 3,  1934, nos. 624-9, cited by Noe, but hd. not mentioned in catalogue)","disposition"
"igch1682","Noe 378: &#x022;cf. no. 140,&#x022; seems to suggest  that the present hd. may form part of the Benha 1922-1923 hd. (no. 1695 below), which seems unlikely","note"
"igch0801","dispersed","disposition"
"igch0801","Record of 100 varieties on file in ANS and Paris.  A lot of c. 75 Philips and Alexanders seen in Greece by a European correspondent in the late 1960's may be part of this hd. Photos of 8 pieces on file in the ANS add Tarsus to the mints of Alexander listed above","note"
"igch1306","Athens 16","disposition"
"igch1306","Svoronos, JIAN 1913, pp. 35 f.","ref"
"igch1306","Mavrogordato, NC 1916, pp. 283-90, no. 56","ref"
"igch0968","Varna 37 (2 Maroneia, 35  Thasos)","disposition"
"igch0968","Gerasimov, BIAB 18 (1952), p. 402","ref"
"igch0450","New York","disposition"
"igch0450","Publication forthcoming","note"
"igch0685","Cluj 8 (dr.); L. Ruzicka 23 (dr.)","disposition"
"igch0685","Popescu, Dacia 1937-40, p. 192","ref"
"igch0685","Information from M. Macrea","note"
"igch0146","dispersed","disposition"
"igch0146","Information from P. Franke who has list and  casts","note"
"igch1936","Naples","disposition"
"igch1936","Stazio, AIIN 1965-7, pp. 59-60","ref"
"igch1139","museum material lost during  war","disposition"
"igch1139","Shkorpil, IAK 30 (1909), p. 12, no. 38","ref"
"igch1505","dispersed","disposition"
"igch1505","Information from Y. Meshorer","note"
"igch0431","private coll., Athens (part)","disposition"
"igch0431","Information from T. Hackens","note"
"igch1404","Ankara","disposition"
"igch1404","Cox, ANSMN 12 (1966), pp. 51-5, illus.","ref"
"igch0819","dispersed","disposition"
"igch0819","Gerasimov, BIAB B 17 (1950), p. 321","ref"
"igch0949","Pazardzik 24","disposition"
"igch0949","Gerasimov, BIAB 26 (1963), p. 266","ref"
"igch0005","unknown","disposition"
"igch0005","Köhler, AM 1884, pp. 357-8","ref"
"igch0005","Seltman, Athens, p. 146","ref"
"igch1512","Stockholm","disposition"
"igch1512","Schwabacher, NNA 1963, pp. 5-12, illus.","ref"
"igch2182","parts to G. Romano and  de Luynes (?)","disposition"
"igch2182","Romano, Sopra alcune monete scoverte in Sicilia  (Paris, 1862), illus.","ref"
"igch0023","New York, some ex Berry","disposition"
"igch0023","Details on types in ANS","note"
"igch0023","See also Pyrgos 1944, no. 24 below","note"
"igch0952","Sofia 5","disposition"
"igch0952","Gerasimov, BIAB 12 (1938), p. 456","ref"
"igch0952","Thompson, Athens, p. 522 (Simitlii)","ref"
"igch0521","dispersed","disposition"
"igch0521","Gerasimov, BIAB 13 (1939), p. 342","ref"
"igch2172","dispersed","disposition"
"igch2172","Holm, ArchZeit 1875, p. 147","ref"
"igch2172","Cavallari, Archivio storico Siciliano 3 (1876), pp.  529-30","ref"
"igch2172","Jenkins-Lewis, Carthage, p. 58","ref"
"igch2069","Syracuse","disposition"
"igch2069","Sjöqvist, AJA 1958, p. 156, illus.","ref"
"igch1713","dispersed","disposition"
"igch1713","Information from R. Hazzard, Toronto","note"
"igch1806","A. Houghton 33; Paris 2;  Copenhagen 2","disposition"
"igch1806","Houghton-Le Rider, RN 1966, pp. 111-27, illus.","ref"
"igch1806","Le Rider, RN 1969, pp. 18-22, illus.","ref"
"igch1806","Fischer, Chiron 1 (1971), p. 171, note 10","ref"
"igch1806","Strauss, RN 1971, pp. 109-40, illus.","ref"
"igch1806","The list above comprises 176 specimens  recorded by Houghton and Le Rider and 157 specimens listed by Strauss. There may be some overlapping be- tween the two records. According to Strauss and Fischer the two lots should be connected with the Susiana hoard from 1958 or 1959, no. 1805 above, and the discovery lowered ac- cordingly","note"
"igch2195","Syracuse","disposition"
"igch2195","Currò Pisanò, AIIN 1962-4, p. 222","ref"
"igch0053","Merlin 12 (Sotheby Nov. 11,  1861, 96-101; 96 = Sotheby June 15, 1896, 960)","disposition"
"igch1795","Oxford 3, Teheran 11?","disposition"
"igch1795","Jenkins, Iran 1965, pp. 42-4, illus.","ref"
"igch0523","dispersed","disposition"
"igch0523","Thompson, Athens, pp. 521-2","ref"
"igch2201","Syracuse","disposition"
